city.time,coeff,mean,se_mean,2.5%,50%,97.5%,n_eff
Montreal-Pre-COVID,alpha,1.8572542454843877,0.0010548813350059096,1.7449520265980805,1.8561554256056616,1.974902613144402,3135.091158262995
Montreal-Pre-COVID,beta[1],0.17135014563580458,0.001139956824783511,0.030120153387723947,0.17221830440766256,0.3070113244824793,3922.803608899054
Montreal-Pre-COVID,beta[2],0.09948508621026993,0.001437697456521121,-0.07308279079742305,0.09863496499454709,0.2721369400098165,3788.2425784640723
Montreal-Pre-COVID,beta[3],-0.06467604045857284,0.001472969296801218,-0.248569157647536,-0.06539982554413082,0.11460059244552247,3946.3224194090067
Montreal-Pre-COVID,beta[4],-0.1910017642291917,0.0015841908065424633,-0.4053401261122569,-0.1921017564255687,0.021336097283426846,4518.1120532742925
Montreal-Pre-COVID,beta[5],-0.6842247826937349,0.001526968154795704,-0.8906996888620047,-0.6846454245716086,-0.4666848204771259,4986.9777421369035
Montreal-Pre-COVID,beta[6],-0.24036332068356053,9.551547680522782e-4,-0.3627963744299904,-0.23979728428785638,-0.11733722074611475,4256.066170052722
Montreal-Pre-COVID,beta[7],-0.25185598952559907,0.001516118095333638,-0.46739149608829933,-0.2503160106880785,-0.029176391564825432,5452.873255865036
Montreal-Pre-COVID,beta[8],-0.06634863718459955,0.0010794359423589575,-0.2144154492812472,-0.0667875127307515,0.08429260534233245,5077.826753912223
Montreal-Pre-COVID,beta[9],0.6015013262044518,8.983900843898757e-4,0.48059533601142773,0.6014958010671899,0.7283833855311688,4872.414766250216
Montreal-Pre-COVID,beta[10],-0.20027572665518106,0.005896005344584102,-0.9590940785635251,-0.20790460583601744,0.6337992524966197,4636.327225877655
Montreal-Pre-COVID,beta[11],1.0628161597734613,0.0010256615058595975,0.9226401250874321,1.0625340726961308,1.203915822231025,4752.3226976946125
Montreal-Pre-COVID,beta[12],-1.029317275865296,0.008280094465181869,-2.1329610233175,-1.0316898653211068,0.06016546372165798,4685.48327975105
Montreal-Pre-COVID,beta[13],0.4294004468825002,0.0014509291566013281,0.2351398630963875,0.42626012924705825,0.6413959356400424,5131.139930074052
Montreal-Pre-COVID,beta[14],0.24604317236739398,0.0031667665339949894,-0.19670406014934239,0.24249120488566606,0.7109421214358056,5336.302703894592
Montreal-Pre-COVID,phi,1.3210210743096025,7.781745100139167e-4,1.211511379355588,1.319573650904825,1.4356364560902448,5487.8068236486315
Montreal-2022-Pre-Mpox,alpha,1.4205204024144313,0.0036861579024435823,1.1086815330880324,1.4207494895677,1.74335024815483,1967.2119464396114
Montreal-2022-Pre-Mpox,beta[1],0.20469151657860804,0.0039044083696133896,-0.14296851036775207,0.20547576897565684,0.5448580942159795,2080.1466017666908
Montreal-2022-Pre-Mpox,beta[2],-0.12203745682989402,0.004379779676970345,-0.5386683093973623,-0.12074543529719423,0.3042883654832238,2415.191866214921
Montreal-2022-Pre-Mpox,beta[3],-0.37944511640524364,0.004222426453470974,-0.7917620201743618,-0.38186078362608744,0.024273395658359544,2423.565583898206
Montreal-2022-Pre-Mpox,beta[4],-0.3377402957714429,0.004185594724748334,-0.7344615099931077,-0.33975636439973733,0.06467358012270269,2336.0332066429446
Montreal-2022-Pre-Mpox,beta[5],-0.7769287767944589,0.0025052022145545054,-1.1428673982567419,-0.7801932345410603,-0.4140926275092317,5537.581760961035
Montreal-2022-Pre-Mpox,beta[6],-0.0195544733802131,0.001898941225399007,-0.26966031258370593,-0.018942832381100613,0.22655216057844846,4333.207870605306
Montreal-2022-Pre-Mpox,beta[7],-0.38060548569794284,0.0031118262651476645,-0.7959899936033132,-0.385954681635628,0.04934901500595868,4851.826876899823
Montreal-2022-Pre-Mpox,beta[8],-0.10487588404726886,0.0017692668601268736,-0.3899228235129265,-0.10951507167107483,0.19668225972772538,6721.342938999062
Montreal-2022-Pre-Mpox,beta[9],0.5768181814959753,0.001888145521256375,0.30118395745078524,0.5766132045786625,0.863789138292669,5750.309247038197
Montreal-2022-Pre-Mpox,beta[10],-0.716949688838577,0.009827717187470799,-1.9776733081115148,-0.7535917452718026,0.6391636471053677,4803.15352995453
Montreal-2022-Pre-Mpox,beta[11],1.4717854165776731,0.002351346799337245,1.1176219102603406,1.4729106000210503,1.8459765146506015,6026.407531101334
Montreal-2022-Pre-Mpox,beta[12],0.6748218198377665,0.011526730231724,-0.7854009405208632,0.6441707916863393,2.3806860680966726,4766.893707375015
Montreal-2022-Pre-Mpox,beta[13],0.513169764243397,0.005451963311041387,-0.20367584170575836,0.5015937634501788,1.2663378913698187,4888.624973938101
Montreal-2022-Pre-Mpox,beta[14],-1.942550503669986,0.0077383665980961715,-3.064006468478756,-1.9208664757749854,-0.8998232517812963,5171.3060642944065
Montreal-2022-Pre-Mpox,phi,0.8626766090617625,7.962542070578576e-4,0.743438497530025,0.8600038807865227,0.9945028087159729,6632.981533089191
Toronto-Pre-COVID,alpha,1.9288258327201406,0.0014892944576746507,1.7458262293751001,1.928668232977611,2.1130538793893887,4066.8554795403547
Toronto-Pre-COVID,beta[1],0.2603430856999605,0.0015153816561885676,0.057903711593940255,0.2603302534827959,0.46176811207338403,4600.252386125741
Toronto-Pre-COVID,beta[2],0.3815534584465537,0.002109058226890593,0.08847365334903992,0.3778290298829323,0.6770728135707879,5058.0082693546765
Toronto-Pre-COVID,beta[3],0.30898285838527584,0.002525610754165421,-0.03609139687968524,0.30634519104215097,0.6608870050115313,5014.704882564919
Toronto-Pre-COVID,beta[4],-0.46704514299281913,0.0037593747356257016,-0.9765284618729559,-0.4791126871631579,0.08628542535736458,5266.337137098512
